feature,sentiment
 abwertet ,-1
 abwertete ,-1
 abwerteten ,-1
 abwertetest ,-1
 abwertetet ,-1
 abwertte ,-1
 abwertten ,-1
 abwerttest ,-1
 abwerttet ,-1
 abwertung ,-1
 abwertungen ,-1
 abwesende ,-1
 abwesenheit ,-1
 abwinkeln ,-1
 abyssisch ,-1
 abzetteln ,-1
 abziehbar ,1
 abziehen ,-1
 abzocke ,-1
 abzug ,-1
 abzüglich ,-1
 abzugsfähig ,1
 abzweig ,-1
 ach ,-1
 achillessehne ,-1
 achselzucken ,-1
 achtbar ,1
 ächten ,-1
 achterbahn ,-1
 achterliche ,-1
 achterliek ,-1
 achtlos ,-1
 achtlose ,-1
 achtlosem ,-1
 achtlosen ,-1
 achtloser ,-1
 achtlosere ,-1
 achtloserem ,-1
 achtloseren ,-1
 achtloserer ,-1
 achtloseres ,-1
 achtloses ,-1
 achtlosest ,-1
 achtloseste ,-1
 achtlosestem ,-1
 achtlosesten ,-1
 achtlosester ,-1
 achtlosestes ,-1
 achtlosigkeit ,-1
 achtsam ,1
 achtsamkeit ,1
 achtung ,-1
 ächtung ,-1
 achtungsvoll ,1
 ächzen ,-1
 adaptation ,1
 adaptationsfähigkeit ,1
 adaptiv ,1
 adäquat ,1
 addier ,1
 addiere ,1
 addieren ,1
 addierest ,1
 addieret ,1
 addierst ,1
 addiert ,1
 addierte ,1
 addierten ,1
 addiertest ,1
 addiertet ,1
 adeln ,1
 adelte ,1
 adept ,1
 aderlasser ,-1
 adhäsion ,1
 adipös ,-1
 adlig ,1
 adrett ,1
 adrette ,1
 adrettem ,1
 adretten ,1
 adretter ,1
 adrettere ,1
 adretterem ,1
 adretteren ,1
 adretterer ,1
 adretteres ,1
 adrettes ,1
 adrettest ,1
 adretteste ,1
 adrettestem ,1
 adrettesten ,1
 adrettester ,1
 adrettestes ,1
 advokatur ,-1
 affäre ,-1
 affären ,-1
 affe ,-1
 affektbeladen ,-1
 affektiert ,-1
 affektiertheit ,-1
 affektive ,-1
 affentheater ,-1
 affenzahn ,-1
 affig ,-1
 affirmation ,1
 affront ,-1
 aggression ,-1
 aggressionen ,-1
 aggressiv-paranoide ,-1
 aggressiv ,-1
 aggressive ,-1
 aggressivem ,-1
 aggressiven ,-1
 aggressiver ,-1
 aggressivere ,-1
 aggressiverem ,-1
 aggressiveren ,-1
 aggressiverer ,-1
 aggressiveres ,-1
 aggressives ,-1
 aggressivität ,-1
 aggressivitäten ,-1
 aggressivst ,-1
 aggressivste ,-1
 aggressivstem ,-1
 aggressivsten ,-1
 aggressivster ,-1
 aggressivstes ,-1
 aggressor ,-1
 aggressoren ,-1
 aggressors ,-1
 agil ,1
 agile ,1
 agilem ,1
 agilen ,1
 agiler ,1
 agilere ,1
 agilerem ,1
 agileren ,1
 agilerer ,1
 agileres ,1
 agiles ,1
 agilität ,1
 agilst ,1
 agilste ,1
 agilstem ,1
 agilsten ,1
 agilster ,1
 agilstes ,1
 agitans ,-1
 agitatio ,-1
 agitation ,-1
 agitationen ,-1
 agitator ,-1
 agitiert ,-1
 agonie ,-1
 ahnden ,-1
 ahndete ,-1
 ahndung ,-1
 ahnen ,1
 ahnend ,-1
 ähnlichkeit ,1
 ahnte ,1
 ahnungslos ,-1
 ahnungslosigkeit ,-1
 ahnungsvoll ,1
 akklamation ,1
 akklamieren ,1
 akklamiert ,1
 akkurat ,1
 akkurate ,1
 akkuratem ,1
 akkuraten ,1
 akkurater ,1
 akkuratere ,1
 akkuraterem ,1
 akkurateren ,1
 akkuraterer ,1
 akkurateres ,1
 akkurates ,1
 akkuratest ,1
 akkurateste ,1
 akkuratestem ,1
 akkuratesten ,1
 akkuratester ,1
 akkuratestes ,1
 akquisition ,1
 akribisch ,1
 aktiv ,1
 aktive ,1
 aktivem ,1
 aktiven ,1
 aktiver ,1
 aktivere ,1
 aktiverem ,1
 aktiveren ,1
 aktiverer ,1
 aktiveres ,1
 aktives ,1
 aktivieren ,1
 aktivierte ,1
 aktivist ,1
 aktivistin ,1
 aktivität ,1
 aktivitäten ,1
 aktivposten ,1
 aktivst ,1
 aktivste ,1
 aktivstem ,1
 aktivsten ,1
 aktivster ,1
 aktivstes ,1
 aktivum ,1
 aktualisier ,1
 aktualisiere ,1
 aktualisieren ,1
 aktualisierest ,1
 aktualisieret ,1
 aktualisierst ,1
 aktualisiert ,1
 aktualisierte ,1
 aktualisierten ,1
 aktualisiertest ,1
 aktualisiertet ,1
 aktualisierung ,1
 aktualisierungen ,1
 aktualität ,1
 aktualitäten ,1
 aktuell ,1
 aktuelle ,1
 aktuellem ,1
 aktuellen ,1
 aktueller ,1
 aktuellere ,1
 aktuellerem ,1
 aktuelleren ,1
 aktuellerer ,1
 aktuelleres ,1
 aktuelles ,1
 aktuellst ,1
 aktuellste ,1
 aktuellstem ,1
 aktuellsten ,1
